Date,Open,High,Low,Close,Adj Close,Volume,ma5,ma20,ema5,ema20,rsi6,rsi12,rsi24,mom6,mom12,mom24,roc,willr,AD,trange
2004-01-02,111.739998,112.190002,110.730003,111.230003,82.803368,38072300,,,,,,,,,,,,,-1494554428.700762,
2004-01-05,111.690002,112.519997,111.589996,112.440002,83.704132,27959800,,,,,,,,,,,1.0878349779202212,,-3199250447.838583,29.716628999999998
2004-01-06,112.160004,112.730003,112.0,112.550003,83.786026,20472800,,,,,,,,,,,0.09783746398566162,,-4802234681.099002,29.025870999999995
2004-01-07,112.389999,113.059998,111.889999,112.93,84.068939,30170400,,,,,,,,,,,0.3376613183682764,,-6267231108.5127125,29.273971999999986
2004-01-08,113.25,113.410004,112.769997,113.379997,84.403931,36438400,83.7532792,,83.7532792,,,,,,,,0.3984729722829039,,-9533678115.713585,29.341065
2004-01-09,112.83000200000001,113.5,112.269997,112.389999,83.666916,54084300,83.9259888,,83.72449146666666,,,,,,,,-0.873199851319717,,-12103167034.610132,29.096069
2004-01-12,112.550003,113.25,112.360001,113.220001,84.284813,31564100,84.042125,,83.91126531111111,,75.06272257420545,,,1.4814449999999937,,,0.7385201099082028,,-14126122229.545738,29.583084
2004-01-13,113.089996,113.230003,111.760002,112.559998,83.79348,54239700,84.0436158,,83.87200354074074,,62.57865490334109,,,0.0893480000000011,,,-0.582943691172455,,-16244164285.222237,28.945189999999997
2004-01-14,112.760002,113.660004,112.66999799999999,113.5,84.493248,30112800,84.1284776,,84.07908502716049,,70.86118582484022,,,0.7072219999999874,,,0.8351103212326239,,-17988369398.602142,29.866524
2004-01-15,113.57,114.059998,112.58000200000001,113.779999,84.701683,38408700,84.188028,,84.28661768477366,,72.99741037716055,,,0.6327440000000024,,,0.2466883507662221,,-19473768483.677925,29.56675
2004-01-16,114.040001,114.309998,113.629997,114.230003,85.036682,31922700,84.4619812,,84.53663912318244,,76.34243406507923,,,0.632750999999999,,,0.3955045379676836,,-22190321990.84001,29.60831499999999
